Banco de México,
,
Securities auctions and Open Market Operations,
Valores Gubernamentales,
,
Date: 03/02/2024 06:05:53,
,
,
,
Title,"Bonds Issued by Public Agencies Weekly auctions results, 28 day Cetes Annual Interest rate"
Information type,Levels
Date,SF43936
01/02/2014,3.16
01/09/2014,3.17
01/16/2014,3.05
01/23/2014,3.13
01/30/2014,3.18
02/06/2014,3.18
02/13/2014,3.16
02/20/2014,3.14
02/27/2014,3.15
03/06/2014,3.16
03/13/2014,3.14
03/20/2014,3.19
03/27/2014,3.19
04/03/2014,3.22
04/10/2014,3.2
04/16/2014,3.22
04/24/2014,3.25
04/30/2014,3.25
05/08/2014,3.25
05/15/2014,3.26
05/22/2014,3.28
05/29/2014,3.31
06/05/2014,3.29
06/12/2014,2.92
06/19/2014,2.95
06/26/2014,2.9
07/03/2014,2.85
07/10/2014,2.85
07/17/2014,2.84
07/24/2014,2.82
07/31/2014,2.8
08/07/2014,2.78
08/14/2014,2.77
08/21/2014,2.76
08/28/2014,2.76
09/04/2014,2.76
09/11/2014,2.84
09/18/2014,2.86
09/25/2014,2.86
10/02/2014,2.85
10/09/2014,2.86
10/16/2014,2.96
10/23/2014,2.93
10/30/2014,2.9
11/06/2014,2.91
11/13/2014,2.9
11/20/2014,2.83
11/27/2014,2.76
12/04/2014,2.84
12/11/2014,2.85
12/18/2014,2.84
12/24/2014,2.78
12/31/2014,2.74
01/08/2015,2.43
01/15/2015,2.79
01/22/2015,2.72
01/29/2015,2.75
02/05/2015,2.74
02/12/2015,2.78
02/19/2015,2.83
02/26/2015,2.9
03/05/2015,3.01
03/12/2015,3.05
03/19/2015,3.04
03/26/2015,3.05
04/01/2015,3.02
04/09/2015,3.02
04/16/2015,3
04/23/2015,2.96
04/30/2015,2.85
05/07/2015,2.98
05/14/2015,2.97
05/21/2015,2.99
05/28/2015,2.99
06/04/2015,2.97
06/11/2015,2.96
06/18/2015,2.94
06/25/2015,2.98
07/02/2015,3
07/09/2015,2.96
07/16/2015,2.96
07/23/2015,3.01
07/30/2015,3.01
08/06/2015,3.02
08/13/2015,3.01
08/20/2015,3.02
08/27/2015,3.12
09/03/2015,3.09
09/10/2015,3.11
09/17/2015,3.18
09/24/2015,3.02
10/01/2015,3.02
10/08/2015,2.98
10/15/2015,3
10/22/2015,3.04
10/29/2015,3.05
11/05/2015,3.03
11/12/2015,3
11/19/2015,3
11/26/2015,3.03
12/03/2015,3.11
12/10/2015,3.2
12/17/2015,3.2
12/24/2015,3.15
12/31/2015,3.05
01/07/2016,3.05
01/14/2016,3.05
01/21/2016,3.09
01/28/2016,3.14
02/04/2016,3.16
02/11/2016,3.2
02/18/2016,3.23
02/25/2016,3.85
03/03/2016,3.88
03/10/2016,3.78
