Banco de México,
,
Securities prices and interest rates,
Tasas de Interés en el Mercado de Dinero,
,
Date: 03/02/2024 06:10:39,
,
,
,
Title,"28 day TIIE, Interest rate in annual percent"
Information type,Levels
Date,SF43783
01/02/2014,3.795
01/03/2014,3.795
01/06/2014,3.7925
01/07/2014,3.7962
01/08/2014,3.7994
01/09/2014,3.8005
01/10/2014,3.7927
01/13/2014,3.7945
01/14/2014,3.7972
01/15/2014,3.7933
01/16/2014,3.7843
01/17/2014,3.7825
01/20/2014,3.7665
01/21/2014,3.7615
01/22/2014,3.767
01/23/2014,3.7771
01/24/2014,3.7645
01/27/2014,3.765
01/28/2014,3.765
01/29/2014,3.765
01/30/2014,3.7726
01/31/2014,3.7761
02/04/2014,3.7705
02/05/2014,3.7755
02/06/2014,3.7643
02/07/2014,3.7671
02/10/2014,3.7815
02/11/2014,3.784
02/12/2014,3.7778
02/13/2014,3.789
02/14/2014,3.7915
02/17/2014,3.7872
02/18/2014,3.795
02/19/2014,3.8025
02/20/2014,3.793
02/21/2014,3.7935
02/24/2014,3.7975
02/25/2014,3.7937
02/26/2014,3.8025
02/27/2014,3.7962
02/28/2014,3.7917
03/03/2014,3.7919
03/04/2014,3.7956
03/05/2014,3.7987
03/06/2014,3.8
03/07/2014,3.8012
03/10/2014,3.8006
03/11/2014,3.8025
03/12/2014,3.7937
03/13/2014,3.7918
03/14/2014,3.8
03/18/2014,3.8075
03/19/2014,3.795
03/20/2014,3.8
03/21/2014,3.8012
03/24/2014,3.8062
03/25/2014,3.805
03/26/2014,3.8125
03/27/2014,3.8067
03/28/2014,3.8033
03/31/2014,3.8125
04/01/2014,3.815
04/02/2014,3.8125
04/03/2014,3.8157
04/04/2014,3.8125
04/07/2014,3.8012
04/08/2014,3.8054
04/09/2014,3.8132
04/10/2014,3.8087
04/11/2014,3.804
04/14/2014,3.796
04/15/2014,3.8
04/16/2014,3.8085
04/21/2014,3.795
04/22/2014,3.811
04/23/2014,3.8075
04/24/2014,3.8145
04/25/2014,3.8022
04/28/2014,3.8152
04/29/2014,3.7956
04/30/2014,3.795
05/02/2014,3.7905
05/05/2014,3.8
05/06/2014,3.805
05/07/2014,3.798
05/08/2014,3.801
05/09/2014,3.8149
05/12/2014,3.7987
05/13/2014,3.7935
05/14/2014,3.809
05/15/2014,3.8171
05/16/2014,3.8075
05/19/2014,3.8084
05/20/2014,3.7948
05/21/2014,3.8
05/22/2014,3.8085
05/23/2014,3.8072
05/26/2014,3.816
05/27/2014,3.7915
05/28/2014,3.8085
05/29/2014,3.7968
05/30/2014,3.7858
06/02/2014,3.7785
06/03/2014,3.8043
06/04/2014,3.8085
06/05/2014,3.8095
06/06/2014,3.8085
06/09/2014,3.325
06/10/2014,3.322
06/11/2014,3.316
06/12/2014,3.3093
06/13/2014,3.3091
06/16/2014,3.3118
06/17/2014,3.3075
06/18/2014,3.3095
06/19/2014,3.31
06/20/2014,3.31
06/23/2014,3.3184
06/24/2014,3.31
06/25/2014,3.3075
06/26/2014,3.3125
06/27/2014,3.3087
06/30/2014,3.305
07/01/2014,3.3075
07/02/2014,3.3077
07/03/2014,3.3125
07/04/2014,3.3068
07/07/2014,3.3008
07/08/2014,3.296
07/09/2014,3.2919
07/10/2014,3.2945
07/11/2014,3.294
07/14/2014,3.3074
07/15/2014,3.3095
07/16/2014,3.2972
07/17/2014,3.297
07/18/2014,3.2932
07/21/2014,3.2821
07/22/2014,3.2891
07/23/2014,3.285
07/24/2014,3.2875
07/25/2014,3.2936
07/28/2014,3.291
07/29/2014,3.2886
07/30/2014,3.3023
07/31/2014,3.3075
08/01/2014,3.31
08/04/2014,3.3
08/05/2014,3.3125
08/06/2014,3.2965
08/07/2014,3.297
08/08/2014,3.2935
08/11/2014,3.298
08/12/2014,3.2972
08/13/2014,3.301
08/14/2014,3.2941
08/15/2014,3.3025
08/18/2014,3.2983
08/19/2014,3.2925
08/20/2014,3.2864
08/21/2014,3.3025
08/22/2014,3.3025
08/25/2014,3.2975
08/26/2014,3.3025
08/27/2014,3.2925
08/28/2014,3.2951
08/29/2014,3.2975
09/01/2014,3.286
09/02/2014,3.291
09/03/2014,3.291
09/04/2014,3.295
09/05/2014,3.2826
09/08/2014,3.2925
09/09/2014,3.2925
09/10/2014,3.2926
09/11/2014,3.2818
09/12/2014,3.293
09/15/2014,3.2926
09/17/2014,3.3065
09/18/2014,3.29
09/19/2014,3.2975
09/22/2014,3.2975
09/23/2014,3.2865
