Banco de México,
,
Exchange rates and auctions historical information,
Tipos de cambio diarios,
,
Date: 03/02/2024 06:14:08,
,
,
,
Title,"Exchange rate pesos per US dollar, Used to settle liabilities denominated in foreign currency, Date of settlement"
Information type,Levels
Date,SF60653
01/01/2014,13.0652
01/02/2014,13.0652
01/03/2014,13.0843
01/04/2014,13.1011
01/05/2014,13.1011
01/06/2014,13.1011
01/07/2014,13.0911
01/08/2014,13.0905
01/09/2014,13.0337
01/10/2014,13.0846
01/11/2014,13.1403
01/12/2014,13.1403
01/13/2014,13.1403
01/14/2014,13.0065
01/15/2014,12.9889
01/16/2014,13.0956
01/17/2014,13.1689
01/18/2014,13.2907
01/19/2014,13.2907
01/20/2014,13.2907
01/21/2014,13.2737
01/22/2014,13.242
01/23/2014,13.2984
01/24/2014,13.3194
01/25/2014,13.3722
01/26/2014,13.3722
01/27/2014,13.3722
01/28/2014,13.493
01/29/2014,13.4408
01/30/2014,13.3104
01/31/2014,13.3671
02/01/2014,13.3207
02/02/2014,13.3207
02/03/2014,13.3207
02/04/2014,13.3207
02/05/2014,13.3769
02/06/2014,13.3928
02/07/2014,13.3705
02/08/2014,13.2211
02/09/2014,13.2211
02/10/2014,13.2211
02/11/2014,13.3285
02/12/2014,13.3134
02/13/2014,13.2916
02/14/2014,13.3056
02/15/2014,13.332
02/16/2014,13.332
02/17/2014,13.332
02/18/2014,13.2477
02/19/2014,13.1949
02/20/2014,13.2261
02/21/2014,13.2714
02/22/2014,13.2913
02/23/2014,13.2913
02/24/2014,13.2913
02/25/2014,13.2704
02/26/2014,13.209
02/27/2014,13.2248
02/28/2014,13.2992
03/01/2014,13.3066
03/02/2014,13.3066
03/03/2014,13.3066
03/04/2014,13.2379
03/05/2014,13.3201
03/06/2014,13.2752
03/07/2014,13.2519
03/08/2014,13.1476
03/09/2014,13.1476
03/10/2014,13.1476
03/11/2014,13.1795
03/12/2014,13.2248
03/13/2014,13.243
03/14/2014,13.2659
03/15/2014,13.2456
03/16/2014,13.2456
03/17/2014,13.2456
03/18/2014,13.2456
03/19/2014,13.234
03/20/2014,13.1675
03/21/2014,13.1695
03/22/2014,13.2703
03/23/2014,13.2703
03/24/2014,13.2703
03/25/2014,13.22
03/26/2014,13.2019
03/27/2014,13.1349
03/28/2014,13.1273
03/29/2014,13.0837
03/30/2014,13.0837
03/31/2014,13.0837
04/01/2014,13.0841
04/02/2014,13.0549
04/03/2014,13.0313
04/04/2014,13.0991
04/05/2014,13.1324
04/06/2014,13.1324
04/07/2014,13.1324
04/08/2014,13.0345
04/09/2014,13.0179
04/10/2014,12.9642
04/11/2014,13.0604
04/12/2014,13.0453
04/13/2014,13.0453
04/14/2014,13.0453
04/15/2014,13.0788
04/16/2014,13.0493
04/17/2014,13.0986
04/18/2014,13.0986
04/19/2014,13.0986
04/20/2014,13.0986
04/21/2014,13.0986
04/22/2014,13.0603
04/23/2014,13.0413
04/24/2014,13.0448
04/25/2014,13.0908
04/26/2014,13.101
04/27/2014,13.101
04/28/2014,13.101
04/29/2014,13.1371
04/30/2014,13.1356
05/01/2014,13.1039
05/02/2014,13.1039
05/03/2014,13.0901
05/04/2014,13.0901
05/05/2014,13.0901
05/06/2014,12.9981
05/07/2014,13.0102
05/08/2014,13.0129
05/09/2014,12.9876
05/10/2014,12.9477
05/11/2014,12.9477
05/12/2014,12.9477
05/13/2014,12.9843
05/14/2014,12.9534
05/15/2014,12.9234
05/16/2014,12.8993
05/17/2014,12.9755
05/18/2014,12.9755
05/19/2014,12.9755
05/20/2014,12.9193
05/21/2014,12.8944
05/22/2014,12.9425
05/23/2014,12.9132
05/24/2014,12.8801
05/25/2014,12.8801
05/26/2014,12.8801
05/27/2014,12.8656
05/28/2014,12.8616
05/29/2014,12.8772
05/30/2014,12.866
05/31/2014,12.8462
06/01/2014,12.8462
06/02/2014,12.8462
06/03/2014,12.8609
06/04/2014,12.9108
06/05/2014,12.9447
06/06/2014,12.9527
06/07/2014,12.8868
06/08/2014,12.8868
06/09/2014,12.8868
06/10/2014,12.8981
06/11/2014,12.9912
06/12/2014,13.0486
06/13/2014,13.0306
06/14/2014,12.9815
06/15/2014,12.9815
06/16/2014,12.9815
06/17/2014,13.0164
06/18/2014,13.0323
06/19/2014,13.1007
06/20/2014,13.0672
06/21/2014,12.9885
06/22/2014,12.9885
06/23/2014,12.9885
06/24/2014,13.0124
06/25/2014,13.0056
06/26/2014,13.0218
06/27/2014,13.0174
06/28/2014,13.0323
06/29/2014,13.0323
06/30/2014,13.0323
07/01/2014,13.0002
07/02/2014,12.9712
07/03/2014,12.9605
07/04/2014,12.9673
07/05/2014,12.9829
07/06/2014,12.9829
07/07/2014,12.9829
07/08/2014,12.9768
07/09/2014,12.9949
07/10/2014,13.0006
07/11/2014,12.978
07/12/2014,13.0015
07/13/2014,13.0015
07/14/2014,13.0015
07/15/2014,12.985
07/16/2014,12.9755
07/17/2014,12.9611
07/18/2014,12.939
07/19/2014,12.9454
07/20/2014,12.9454
07/21/2014,12.9454
07/22/2014,12.9588
07/23/2014,12.9751
07/24/2014,12.9393
07/25/2014,12.9286
07/26/2014,12.9572
07/27/2014,12.9572
07/28/2014,12.9572
07/29/2014,12.9445
07/30/2014,12.9878
07/31/2014,13.0578
08/01/2014,13.1357
08/02/2014,13.2269
08/03/2014,13.2269
08/04/2014,13.2269
08/05/2014,13.1932
08/06/2014,13.1962
08/07/2014,13.2716
08/08/2014,13.258
08/09/2014,13.2551
08/10/2014,13.2551
08/11/2014,13.2551
08/12/2014,13.236
08/13/2014,13.1998
08/14/2014,13.159
08/15/2014,13.1113
08/16/2014,13.0717
08/17/2014,13.0717
08/18/2014,13.0717
08/19/2014,13.0748
08/20/2014,13.0505
08/21/2014,13.0532
08/22/2014,13.0814
08/23/2014,13.0963
08/24/2014,13.0963
08/25/2014,13.0963
08/26/2014,13.1328
08/27/2014,13.1383
08/28/2014,13.1059
08/29/2014,13.0811
08/30/2014,13.1109
08/31/2014,13.1109
09/01/2014,13.1109
09/02/2014,13.0763
09/03/2014,13.0833
09/04/2014,13.1299
09/05/2014,13.0892
09/06/2014,13.0959
09/07/2014,13.0959
09/08/2014,13.0959
09/09/2014,13.0788
09/10/2014,13.0813
09/11/2014,13.2162
09/12/2014,13.2144
09/13/2014,13.2144
09/14/2014,13.2144
09/15/2014,13.2144
09/16/2014,13.2644
09/17/2014,13.2644
09/18/2014,13.2223
09/19/2014,13.1762
09/20/2014,13.2402
09/21/2014,13.2402
09/22/2014,13.2402
09/23/2014,13.2369
09/24/2014,13.2566
09/25/2014,13.2768
09/26/2014,13.3015
09/27/2014,13.3848
09/28/2014,13.3848
09/29/2014,13.3848
09/30/2014,13.4541
10/01/2014,13.4891
10/02/2014,13.433
10/03/2014,13.4455
10/04/2014,13.4026
10/05/2014,13.4026
10/06/2014,13.4026
10/07/2014,13.4835
10/08/2014,13.4089
10/09/2014,13.4332
10/10/2014,13.4786
10/11/2014,13.3789
10/12/2014,13.3789
10/13/2014,13.3789
10/14/2014,13.4331
10/15/2014,13.4203
10/16/2014,13.4094
10/17/2014,13.5423
10/18/2014,13.5616
10/19/2014,13.5616
10/20/2014,13.5616
10/21/2014,13.5231
10/22/2014,13.5357
10/23/2014,13.4989
10/24/2014,13.5559
10/25/2014,13.5288
10/26/2014,13.5288
10/27/2014,13.5288
10/28/2014,13.5263
10/29/2014,13.5701
10/30/2014,13.4843
10/31/2014,13.4239
11/01/2014,13.4316
11/02/2014,13.4316
11/03/2014,13.4316
11/04/2014,13.4773
11/05/2014,13.5503
11/06/2014,13.5925
11/07/2014,13.607
11/08/2014,13.6173
11/09/2014,13.6173
11/10/2014,13.6173
11/11/2014,13.5573
11/12/2014,13.5528
11/13/2014,13.5874
11/14/2014,13.5613
11/15/2014,13.5995
11/16/2014,13.5995
11/17/2014,13.5995
11/18/2014,13.5995
11/19/2014,13.5348
11/20/2014,13.5445
11/21/2014,13.6146
11/22/2014,13.6115
11/23/2014,13.6115
11/24/2014,13.6115
11/25/2014,13.6152
11/26/2014,13.6374
11/27/2014,13.642
11/28/2014,13.7219
11/29/2014,13.7667
11/30/2014,13.7667
12/01/2014,13.7667
12/02/2014,13.8965
12/03/2014,13.9262
12/04/2014,14.076
12/05/2014,14.0918
12/06/2014,14.1165
12/07/2014,14.1165
12/08/2014,14.1165
12/09/2014,14.3045
12/10/2014,14.4042
12/11/2014,14.3674
12/12/2014,14.5181
12/13/2014,14.5181
12/14/2014,14.5181
12/15/2014,14.5181
12/16/2014,14.6648
12/17/2014,14.7853
12/18/2014,14.7499
12/19/2014,14.6028
12/20/2014,14.5562
12/21/2014,14.5562
12/22/2014,14.5562
12/23/2014,14.6378
12/24/2014,14.6359
12/25/2014,14.7008
12/26/2014,14.7008
12/27/2014,14.7429
12/28/2014,14.7429
12/29/2014,14.7429
12/30/2014,14.6955
12/31/2014,14.718
01/01/2015,14.7348
01/02/2015,14.7348
01/03/2015,14.7414
01/04/2015,14.7414
01/05/2015,14.7414
01/06/2015,14.829
01/07/2015,14.9469
01/08/2015,14.8479
01/09/2015,14.7936
01/10/2015,14.6274
01/11/2015,14.6274
01/12/2015,14.6274
01/13/2015,14.5804
01/14/2015,14.6398
01/15/2015,14.5559
01/16/2015,14.5644
01/17/2015,14.5821
01/18/2015,14.5821
01/19/2015,14.5821
01/20/2015,14.6223
01/21/2015,14.6524
01/22/2015,14.6484
01/23/2015,14.6983
01/24/2015,14.612
01/25/2015,14.612
01/26/2015,14.612
01/27/2015,14.6499
01/28/2015,14.5887
01/29/2015,14.5872
01/30/2015,14.6878
01/31/2015,14.8414
02/01/2015,14.8414
02/02/2015,14.8414
02/03/2015,14.8414
02/04/2015,14.9885
02/05/2015,14.7566
02/06/2015,14.8011
02/07/2015,14.7548
02/08/2015,14.7548
02/09/2015,14.7548
02/10/2015,14.9024
02/11/2015,14.8014
02/12/2015,14.9309
02/13/2015,15.1099
02/14/2015,14.9167
02/15/2015,14.9167
02/16/2015,14.9167
02/17/2015,14.8605
02/18/2015,14.8979
02/19/2015,14.8971
02/20/2015,14.9473
02/21/2015,14.9583
02/22/2015,14.9583
02/23/2015,14.9583
02/24/2015,15.0757
02/25/2015,15.0832
02/26/2015,14.9712
02/27/2015,14.9228
02/28/2015,14.9624
03/01/2015,14.9624
03/02/2015,14.9624
03/03/2015,14.9553
03/04/2015,14.9862
03/05/2015,14.9544
03/06/2015,15.0756
03/07/2015,15.1686
03/08/2015,15.1686
